,Open,High,Low,Close,Adj Close,Volume,US covid deaths
2020-08-07,92.69000244140624,93.0,92.1999969482422,92.91999816894533,80.16035461425781,5226600,8146.0
2020-08-10,92.62999725341795,93.66999816894533,92.1500015258789,92.37999725341795,79.69450378417969,7623600,7799.0
2020-08-11,92.30999755859376,93.29000091552734,92.12999725341795,92.66999816894533,79.94469451904297,7208400,7799.0
2020-08-12,93.4499969482422,95.58000183105467,93.33000183105467,95.51000213623048,82.39471435546875,7705600,7799.0
2020-08-13,95.13999938964844,95.5,94.01000213623048,94.68000030517578,81.67866516113281,6004200,7799.0
2020-08-14,95.37999725341795,95.66999816894533,94.54000091552734,95.06999969482422,82.01513671875,5488100,7799.0
2020-08-17,95.29000091552734,97.26000213623048,95.26000213623048,96.3499984741211,83.11935424804688,7251400,7404.0
2020-08-18,96.62000274658205,96.6999969482422,95.1500015258789,95.6500015258789,82.5154800415039,4557400,7404.0
2020-08-19,97.11000061035156,97.41999816894533,95.8499984741211,96.0999984741211,82.90367126464844,7672000,7404.0
2020-08-20,95.48999786376952,96.02999877929688,94.68000030517578,95.1999969482422,82.12726593017578,6798000,7404.0
2020-08-21,95.1999969482422,95.31999969482422,94.31999969482422,94.86000061035156,81.8339614868164,5269000,7404.0
2020-08-24,94.9000015258789,95.23999786376952,94.18000030517578,94.51000213623048,81.53202056884766,4103600,6677.0
2020-08-25,94.20999908447266,94.79000091552734,93.91000366210938,94.05999755859376,81.143798828125,6710000,6677.0
2020-08-26,93.5,94.41000366210938,92.94000244140624,94.3499984741211,81.39400482177734,5682800,6677.0
2020-08-27,94.33000183105467,95.05999755859376,93.66999816894533,94.3000030517578,81.35088348388672,5271500,6677.0
2020-08-28,94.5199966430664,94.6500015258789,93.52999877929688,94.16999816894533,81.23871612548828,4938300,6677.0
2020-08-31,94.12000274658205,96.01000213623048,94.01000213623048,95.7699966430664,82.61900329589844,9932300,6343.0
2020-09-01,95.5199966430664,95.91999816894533,91.29000091552734,92.23999786376952,79.57373809814453,15783600,6343.0
2020-09-02,92.06999969482422,94.23999786376952,91.9000015258789,93.9499969482422,81.04893493652344,9139200,6343.0
2020-09-03,93.87999725341795,94.30999755859376,91.08999633789062,91.87000274658205,79.25454711914062,8921900,6343.0
2020-09-04,92.08000183105467,93.12999725341795,90.58000183105467,91.87000274658205,79.25454711914062,9444800,6343.0
2020-09-08,91.5199966430664,91.86000061035156,89.44999694824219,90.22000122070312,77.83112335205078,8563900,5705.0
2020-09-09,90.86000061035156,92.43000030517578,90.51000213623048,91.62999725341795,79.04749298095703,5373500,5705.0
2020-09-10,91.06999969482422,91.41000366210938,89.4800033569336,89.6500015258789,77.33939361572266,10403600,5705.0
2020-09-11,89.80999755859375,90.33999633789062,89.04000091552734,89.69999694824219,77.38252258300781,8385800,5705.0
2020-09-14,90.05000305175781,91.26000213623048,89.45999908447266,90.48999786376952,78.06404876708984,5212300,4977.0
2020-09-15,91.4000015258789,91.9800033569336,90.63999938964844,90.91000366210938,78.42638397216797,3851300,4977.0
2020-09-16,91.0199966430664,91.2699966430664,89.69000244140625,89.77999877929688,77.45154571533203,6304400,4977.0
2020-09-17,89.30000305175781,90.80999755859376,89.18000030517578,89.62999725341797,77.3221435546875,5604700,4977.0
2020-09-18,89.48999786376953,90.5,88.86000061035156,90.11000061035156,77.7362289428711,10076300,4977.0
2020-09-21,89.13999938964844,89.43000030517578,87.16999816894531,89.08999633789062,76.85628509521484,7328300,5176.0
2020-09-22,88.9000015258789,88.94999694824219,87.93000030517578,88.5999984741211,76.43356323242188,5306100,5176.0
2020-09-23,89.0,89.2699966430664,87.12000274658203,87.13999938964844,75.17406463623047,6253000,5176.0
2020-09-24,87.0,87.0,85.31999969482422,85.91000366210938,74.11297607421875,9980800,5176.0
2020-09-25,86.0,86.86000061035156,85.45999908447266,86.2300033569336,74.3890151977539,9935600,5176.0
2020-09-28,87.29000091552734,88.19999694824219,86.87000274658203,87.27999877929688,75.29483795166016,6306900,4776.0
2020-09-29,87.11000061035156,87.27999877929688,86.30999755859375,86.88999938964844,74.95838165283203,5508900,4776.0
2020-09-30,87.0,88.44000244140625,86.80999755859375,87.58999633789062,75.56227111816406,8209300,4776.0
2020-10-01,88.16999816894531,88.16999816894531,86.7300033569336,87.13999938964844,75.17406463623047,8777300,4776.0
2020-10-02,86.5,87.3499984741211,86.05000305175781,86.12000274658203,74.29414367675781,5554300,4776.0
2020-10-05,86.48999786376953,88.18000030517578,86.20999908447266,87.93000030517578,75.85559844970703,5984200,4687.0
2020-10-06,87.97000122070312,88.05999755859375,85.70999908447266,85.88999938964844,74.09571838378906,8743800,4687.0
2020-10-07,86.16000366210938,87.30000305175781,86.02999877929688,87.06999969482422,75.1136703491211,5899700,4687.0
2020-10-08,87.2699966430664,88.58000183105469,86.91999816894531,87.33999633789062,75.34660339355469,5535100,4687.0
2020-10-09,87.41000366210938,88.69999694824219,87.3499984741211,87.69999694824219,75.65716552734375,6005800,4687.0
2020-10-12,88.16999816894531,88.5999984741211,87.31999969482422,88.31999969482422,76.1920394897461,7314900,4615.0
2020-10-13,88.01000213623047,88.80000305175781,87.47000122070312,87.83000183105469,75.7693099975586,7851700,4615.0
