Date,Open,High,Low,Close,Adj Close,Volume,US Overdose Deaths
2021-10-13,202.82000732421875,204.88999938964844,202.1000061035156,203.6100006103516,187.7082672119141,3303300,2
2021-10-14,204.4900054931641,207.5,204.4900054931641,206.77999877929688,190.63072204589844,3015100,2
2021-10-15,208.4900054931641,209.0200042724609,206.22999572753903,207.83999633789065,191.60792541503903,3684600,6
2021-10-18,206.3600006103516,207.0,202.4499969482422,203.1300048828125,187.2657623291016,2812500,2
2021-10-19,204.4900054931641,206.8999938964844,203.0800018310547,206.77999877929688,190.63072204589844,2480500,2
2021-10-21,210.1499938964844,210.25999450683597,207.6699981689453,208.9900054931641,192.6681060791016,1921100,2
2021-10-22,209.6999969482422,210.5,208.5,209.2400054931641,192.8985748291016,1349300,8
2021-10-25,209.5,209.82000732421875,206.97000122070312,207.6300048828125,191.4143218994141,1916500,2
2021-10-26,208.1999969482422,209.97999572753903,207.6300048828125,208.67999267578125,192.38229370117188,1664400,4
2021-10-27,209.8699951171875,210.3999938964844,205.80999755859372,206.5800018310547,190.44630432128903,2003300,3
2021-10-28,207.08999633789065,209.4900054931641,205.6100006103516,207.1699981689453,190.9902191162109,2166500,3
2021-10-29,206.3500061035156,207.6999969482422,204.1999969482422,206.97000122070312,190.80584716796875,2592300,7
2021-11-01,208.0,212.08999633789065,207.7700042724609,209.7899932861328,193.40562438964844,3105300,2
2021-11-03,210.91000366210935,219.25,209.8000030517578,218.1300048828125,201.09426879882807,3775600,7
2021-11-04,218.3000030517578,218.4499969482422,211.72000122070312,214.92999267578125,198.14419555664065,2781300,6
2021-11-05,215.6100006103516,217.4199981689453,212.72999572753903,213.7700042724609,197.0747985839844,2300100,3
2021-11-08,214.05999755859372,214.44000244140625,210.92999267578125,211.3699951171875,194.8622131347656,2532900,2
2021-11-09,211.0200042724609,213.6999969482422,210.47000122070312,211.7100067138672,195.1756896972656,2296300,3
2021-11-10,213.27999877929688,215.5,212.52999877929688,213.2100067138672,196.55853271484372,2360400,3
2021-11-11,214.0800018310547,214.0800018310547,210.55999755859372,211.55999755859372,195.0373687744141,2615700,3
2021-11-15,210.69000244140625,210.88999938964844,207.0800018310547,207.3999938964844,192.8075256347656,3129200,2
2021-11-16,208.02999877929688,209.0399932861328,205.2700042724609,205.38999938964844,190.93899536132807,2942500,3
2021-11-17,205.2100067138672,207.3500061035156,203.6000061035156,205.82000732421875,191.33871459960935,3329300,3
2021-11-18,205.6300048828125,206.22999572753903,203.72999572753903,204.0200042724609,189.66537475585935,4261500,6
2021-11-19,205.2700042724609,206.1999969482422,203.6699981689453,206.0800018310547,191.58041381835935,3217100,11
2021-11-22,205.4499969482422,206.3000030517578,200.75,202.72999572753903,188.46612548828125,2835100,5
2021-11-23,202.22999572753903,205.47999572753903,201.2700042724609,204.52999877929688,190.1394805908203,2149300,5
2021-11-24,204.3000030517578,205.27999877929688,202.9499969482422,203.97000122070312,189.618896484375,1699800,9
2021-11-26,204.7400054931641,206.0,200.5200042724609,201.08999633789065,186.94151306152344,3197900,6
2021-11-29,202.47999572753903,204.8300018310547,201.58999633789065,203.47000122070312,189.1540679931641,2519900,4
2021-11-30,202.72999572753903,203.8699951171875,198.72999572753903,198.8800048828125,184.8870086669922,5400100,3
2021-12-01,200.44000244140625,205.63999938964844,198.63999938964844,200.8000030517578,186.6719512939453,3057700,4
2021-12-02,200.72999572753903,203.1000061035156,199.30999755859372,201.1699981689453,187.0158843994141,2858200,2
2021-12-03,201.3800048828125,203.8000030517578,200.83999633789065,202.44000244140625,188.196533203125,3591900,7
2021-12-06,206.3800048828125,211.7899932861328,205.97000122070312,208.7899932861328,194.09976196289065,3998600,5
2021-12-07,209.1499938964844,212.44000244140625,207.3600006103516,211.32000732421875,196.4517364501953,3309500,7
2021-12-08,212.88999938964844,213.91000366210935,210.42999267578125,213.52999877929688,198.50624084472656,2624400,5
2021-12-09,213.52999877929688,213.97999572753903,209.5,212.57000732421875,197.61383056640625,2699800,2
2021-12-10,213.3000030517578,214.4499969482422,210.00999450683597,210.88999938964844,196.05203247070312,2812200,2
2021-12-13,210.42999267578125,213.19000244140625,209.0,211.38999938964844,196.51683044433597,2721300,2
2021-12-14,211.32000732421875,214.80999755859372,210.22999572753903,213.7400054931641,198.70147705078125,2602600,7
2021-12-15,214.0,219.5,213.1199951171875,219.25,203.82379150390625,3924500,3
2021-12-17,222.69000244140625,224.16000366210935,219.32000732421875,222.5,206.84515380859372,6424000,5
2021-12-20,222.25,222.4900054931641,218.69000244140625,219.9900054931641,204.5117645263672,2922200,7
2021-12-21,220.5500030517578,223.25,219.9600067138672,220.9199981689453,205.3762969970703,2987500,3
2021-12-22,220.0,221.8999938964844,217.75999450683597,221.52999877929688,205.94338989257807,2677700,4
2021-12-23,222.3699951171875,224.47999572753903,221.5,223.7899932861328,208.0443878173828,1668800,3
2021-12-27,223.80999755859372,225.4600067138672,222.6699981689453,225.1699981689453,209.32725524902344,1763200,3
2021-12-28,225.1699981689453,226.97999572753903,225.0500030517578,225.7700042724609,209.88507080078125,1304500,1
2021-12-29,225.5800018310547,228.2100067138672,224.9900054931641,227.6000061035156,211.58631896972656,1389400,3
2021-12-30,227.6000061035156,229.5500030517578,226.13999938964844,226.47000122070312,210.53579711914065,1507400,6
2021-12-31,226.25999450683597,227.7400054931641,224.8000030517578,224.97000122070312,209.14132690429688,1668400,3
2022-01-03,223.6300048828125,226.97000122070312,222.02999877929688,226.69000244140625,210.74034118652344,2742800,3
